batch,cars,mean_time,p95_time,mean_rho,mean_speed,ratio_to_batch0
0,8,96.52,197.05,0.823,35.2,1.0
1,7,59.0,138.71,0.726,28.0,0.611
2,6,53.22,123.03,0.709,27.2,0.551
3,9,103.27,238.95,0.889,17.9,1.07
4,7,94.15,183.12,0.915,19.9,0.975
5,7,39.3,89.3,0.783,21.4,0.407
6,10,68.81,180.05,0.78,18.8,0.713
7,8,51.18,174.61,0.309,12.4,0.53
8,9,34.48,104.55,0.678,29.1,0.357
9,5,98.21,150.9,0.821,29.7,1.018
10,10,33.97,123.96,0.356,23.1,0.352
11,9,110.8,225.5,0.976,22.4,1.148
12,7,74.06,225.02,0.713,30.3,0.767
13,9,103.55,268.38,0.964,16.8,1.073
14,9,94.71,305.99,0.805,24.7,0.981
15,7,71.38,186.81,0.595,20.6,0.74
16,9,167.96,365.29,1.114,15.6,1.74
17,8,34.96,89.6,0.761,31.7,0.362
18,7,39.42,126.5,0.501,17.3,0.408
19,8,34.31,117.42,0.459,22.9,0.355
20,8,35.06,114.97,0.486,28.9,0.363
21,9,74.63,209.64,0.719,28.0,0.773
22,8,81.74,203.2,1.193,27.7,0.847
23,9,34.21,80.32,0.786,24.3,0.354
24,8,34.61,78.5,0.692,17.3,0.359
25,9,46.08,100.46,0.884,21.9,0.477
26,9,24.54,72.77,0.454,16.9,0.254
27,9,53.27,135.3,0.624,20.7,0.552
28,8,73.08,156.47,0.95,16.4,0.757
29,8,61.96,184.47,0.481,19.8,0.642
30,9,114.22,232.89,0.966,20.8,1.183
31,9,64.86,177.97,0.562,18.2,0.672
32,9,56.97,179.23,0.693,19.2,0.59
33,8,54.41,138.42,0.71,14.6,0.564
34,9,53.04,130.95,0.664,24.1,0.55
35,7,99.93,222.02,0.816,22.2,1.035
36,8,53.54,127.8,0.72,21.9,0.555
37,10,29.79,83.31,0.634,25.0,0.309
38,9,45.88,107.44,0.618,17.1,0.475
39,7,86.17,186.5,0.741,26.3,0.893
40,7,87.56,181.53,0.599,24.6,0.907
41,9,50.36,188.55,0.438,11.5,0.522
42,8,58.14,191.54,0.631,26.4,0.602
43,7,53.01,164.42,0.623,24.6,0.549
44,7,47.0,139.15,0.533,24.8,0.487
45,9,50.07,136.49,0.632,29.3,0.519
46,6,42.46,86.21,0.541,20.8,0.44
47,8,32.73,112.15,0.407,24.6,0.339
48,7,6.59,30.59,0.157,12.3,0.068
49,7,64.99,140.4,0.805,35.8,0.673
50,8,85.43,214.34,0.791,19.0,0.885
51,6,53.92,135.33,0.533,29.3,0.559
52,7,96.34,230.63,0.728,17.4,0.998
53,9,39.29,86.48,0.741,26.4,0.407
54,9,57.05,149.05,0.713,18.0,0.591
55,7,46.76,137.31,0.475,17.6,0.484
56,7,24.38,67.83,0.267,27.1,0.253
57,7,21.98,55.71,0.519,36.3,0.228
58,8,43.09,88.81,0.725,21.5,0.446
59,7,33.98,92.58,0.44,19.6,0.352
60,8,97.1,188.6,1.041,21.1,1.006
61,9,38.52,114.61,0.535,23.2,0.399
62,4,55.28,104.97,0.73,19.0,0.573
63,10,59.77,187.6,0.767,27.6,0.619
64,9,31.43,133.77,0.374,21.0,0.326
65,6,43.39,134.07,0.362,16.4,0.45
66,7,50.9,150.04,0.543,25.1,0.527
67,6,105.74,185.69,0.826,28.3,1.096
68,10,36.37,100.86,0.776,27.8,0.377
69,7,147.38,255.71,1.201,21.0,1.527
70,9,101.25,309.25,0.748,16.6,1.049
71,8,61.92,181.23,0.75,21.6,0.642
72,9,75.95,135.82,0.945,21.2,0.787
73,9,82.11,190.54,0.851,26.4,0.851
74,8,47.9,130.91,0.59,17.5,0.496
75,8,64.02,167.19,0.515,25.0,0.663
76,10,34.48,132.6,0.408,16.7,0.357
77,8,28.57,69.74,0.814,25.2,0.296
78,6,40.56,98.03,0.43,23.9,0.42
79,7,17.24,79.1,0.2,17.7,0.179
80,7,50.8,124.2,0.46,22.9,0.526
81,9,32.3,112.1,0.317,14.8,0.335
82,7,36.77,102.28,0.664,33.9,0.381
83,7,30.29,81.51,0.676,32.3,0.314
84,8,44.76,129.65,0.644,24.9,0.464
85,8,51.05,113.62,0.572,16.9,0.529
86,5,93.96,180.95,0.729,32.0,0.973
87,6,26.14,112.3,0.349,20.8,0.271
88,8,15.59,42.92,0.418,24.8,0.162
89,9,18.23,58.29,0.286,17.2,0.189
90,7,31.16,91.4,0.301,21.0,0.323
91,9,40.39,120.86,0.377,20.6,0.418
92,8,57.88,133.08,0.618,31.5,0.6
93,8,77.68,224.13,0.673,23.9,0.805
94,9,52.18,139.39,0.9,22.4,0.541
95,7,72.82,157.97,0.917,19.2,0.754
96,9,15.76,72.57,0.253,4.7,0.163
97,8,42.7,83.03,0.606,26.9,0.442
98,7,52.53,129.39,0.803,37.4,0.544
99,8,31.15,101.19,0.429,22.2,0.323
